states,x,y
Andhra Pradesh,-86,-148
Arunachal Pradesh,260,157
Assam,246,123
Bihar,64,99
Chhattisgarh,-29,-8
Goa,-221,-143
Gujarat,-305,18
Haryana,-171,178
Himachal Pradesh,-142,240
Jharkhand,57,49
Karnataka,-195,-174
Kerala,-157,-270
Madhya Pradesh,-154,40
Maharashtra,-221,-63
Manipur,282,85
Meghalaya,201,98
Mizoram,259,57
Nagaland,295,114
Odisha,42,-30
Punjab,-178,214
Rajasthan,-271,122
Sikkim,145,141
Tamil Nadu,-126,-241
Telangana,-105,-89
Tripura,231,56
Uttar Pradesh,-79,135
Uttarakhand,-91,202
West Bengal,123,39
Andaman and Nicobar,287,195
Chandigarh,-147,208
Dadar and Nagar,-244,-32
Daman and Diu,-244,-32
Delhi,-134,156
Jammu and Kashmir,-191,276
Ladakh,-143,315
Lakshadweep,-259,-234
Puducherry,-67,-255


